0.0,-41.0
75.0,-34.65
187.5,-15.6
300.0,3.45
412.5,22.5
487.5,35.2
562.5,47.9
660.0,64.41
750.0,74.57
1110.0,83.46
1470.0,85.365
1950.0,86.0
2025.0,79.65
2137.5,60.6
2250.0,41.55
2362.5,22.5
2437.5,9.8
2512.5,-2.9
2625.0,-21.95
2700.0,-28.3
3060.0,-38.46
3420.0,-40.365
3900.0,-41.0
3975.0,-34.65
4087.5,-15.6
4200.0,3.45
4312.5,22.5
4387.5,35.2
4462.5,47.9
4560.0,64.41
4650.0,74.57
5010.0,83.46
5370.0,85.365
5850.0,86.0
5925.0,79.65
6037.5,60.6
6150.0,41.55
6262.5,22.5
6337.5,9.8
6412.5,-2.9
6525.0,-21.95
6600.0,-28.3
6960.0,-38.46
7320.0,-40.365
7800.0,-41.0
7875.0,-34.65
7987.5,-15.6
8100.0,3.45
8212.5,22.5
8287.5,35.2
8362.5,47.9
8460.0,64.41
8550.0,74.57
8910.0,83.46
9270.0,85.365
9750.0,86.0
9825.0,79.65
9937.5,60.6
10050.0,41.55
10163.0,22.5
10238.0,9.8
10313.0,-2.9
10425.0,-21.95
10500.0,-28.3
10860.0,-38.46
11220.0,-40.365
11700.0,-41.0
